Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIV																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-02-24																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Academy of Educational Leadership Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		381050	1095-6328	1528-2643	428	12	416	30	29	22	22	13	12	36	9	20	49	165	21
Academy of Entrepreneurship Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		374126	1087-9595	1528-2686	33	0	33	1	5	6	1	2	0	1	1	5	5	4	2
Academy of Health Care Management Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		374803	1559-7628	1939-3563	50	0	50	4	3	4	0	4	3	1	1	7	6	13	4
Academy of Information and Management Sciences Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		341009	1524-7252	1532-5806	22	0	22	1	3	1	1	2	1	2	2	0	1	7	1
Academy of Management Annals	Academy of Management	EBSCOhost		401758	1941-6520	1941-6067	89	0	89	7	2	7	9	8	6	7	4	8	12	14	5
Academy of Management Annual Meeting Proceedings	Academy of Management	EBSCOhost		773494	2151-6561		545	39	506	30	59	70	27	27	28	28	51	53	51	93	28
Academy of Management Best Papers Proceedings	Academy of Management	EBSCOhost		550004	0896-7911		46	0	46	1	3	10	5	4	2	1	1	4	3	10	2
The Academy of Management Executive (1987-1989)	Academy of Management	EBSCOhost		402289	0896-3789		185	0	185	1	3	7	2	32	3	94	10	17	3	12	1
The Academy of Management Executive (1993-2005)	Academy of Management	EBSCOhost		458315	1079-5545		1398	406	992	89	161	163	44	73	104	215	129	149	115	116	40
Academy of Management Journal	Academy of Management	EBSCOhost		628	0001-4273	1948-0989	4295	385	3910	260	507	558	410	185	340	247	156	392	468	613	159
Academy of Management learning and education	Academy of Management	EBSCOhost		88822	1537-260X	1944-9585	1865	318	1547	147	225	188	232	114	69	125	56	179	203	228	99
Academy of Management Perspectives	Academy of Management	EBSCOhost		627	1558-9080	1943-4529	1151	0	1151	89	118	172	111	91	87	47	29	92	93	185	37
Academy of Management Proceedings	Academy of Management	EBSCOhost		550005			61	0	61	5	5	3	3	0	15	3	10	1	1	11	4
Academy of Management Proceedings (00650668)	Academy of Management	EBSCOhost		1293328	0065-0668		80	0	80	1	11	13	10	5	6	4	4	8	6	10	2
Academy of Management Proceedings & Membership Directory	Academy of Management	EBSCOhost		525188		1543-8643	92	39	53	4	1	19	7	3	5	12	4	1	11	15	10
Academy of Management Review	Academy of Management	EBSCOhost		625	0363-7425	1930-3807	3604	761	2843	340	324	392	224	197	332	248	147	295	394	435	276
Academy of Marketing Studies Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		374127	1095-6298	1528-2678	102	0	102	5	27	9	9	5	2	11	6	4	4	17	3
Academy of Strategic Management Journal	"Jordan Whitney Enterprises, Inc."	EBSCOhost		374115	1544-1458	1939-6104	172	0	172	4	29	18	20	6	6	21	3	15	21	22	7
Acadiensis	Acadiensis	EBSCOhost		641	0044-5851	1712-7432	120	0	120	9	12	17	13	1	4	1	1	7	35	16	4
Acata Universitatis Palackianae Olomucensis. Gymnica	Palacky University in Olomouc	EBSCOhost		423392	1212-1185	1213-8312	76	0	76	3	10	14	9	0	1	1	0	5	12	18	3
Approach : The Naval Safety Center's Aviation Magazine	Superintendent of Documents	EBSCOhost		6358	1094-0405		24	5	19	1	3	5	1	0	1	1	0	2	0	10	0
Apunts. Educació física i esports	Institut Nacional d'Educacio Fisica de Catalunya	EBSCOhost		1163245	0214-8757	2014-0983	9	0	9	1	0	3	0	1	0	0	0	0	2	2	0
Apunts. Educación Física y Deportes	Institut Nacional d'Educacio Fisica de Catalunya	EBSCOhost		1412670	1577-4015		4	0	4	0	0	0	0	1	0	0	0	1	1	1	0
AQ: Australian Quarterly	Australian Institute of Policy & Science & the Tall Poppy Campaign	EBSCOhost		338186	1443-3605		7	0	7	0	0	0	0	0	0	1	0	0	0	5	1
AQAL : Journal of Integral Theory and Practice	Integral Institute	EBSCOhost		463461	1944-5083		8	0	8	0	0	0	0	0	0	0	1	2	4	1	0
Aqua	"Athletic Business Media, Inc"	EBSCOhost		198583	1041-388X		2	0	2	0	0	0	0	0	0	0	0	0	2	0	0
AQUA (Blackwell)	Springer eBooks	EBSCOhost		6385	0003-7214	1365-2087	5	0	5	0	5	0	0	0	0	0	0	0	0	0	0
"Aquaculture, Aquarium, Conservation & Legislation - International Journal of the Bioflux Society"	Bioflux SRL	EBSCOhost		457462	1844-8143	1844-9166	50	0	50	0	46	1	0	2	0	0	0	0	1	0	0
Aquaculture Economics & Management: Official Journal of the International Association of Aquaculture Economics and Management	Wayne State University Press	EBSCOhost		6398	1365-7305	1551-8663	3	0	3	0	0	0	2	0	0	0	0	0	1	0	0
Aquaculture Magazine	Achill River Corporation	EBSCOhost		96256	0199-1388		5	0	5	1	0	1	0	0	0	0	0	0	2	0	1
Aquaculture Nutrition	Wiley-Blackwell	EBSCOhost		6410	1353-5773	1365-2095	74	0	74	7	5	14	2	4	7	4	0	1	14	13	3
Aquaculture Research	Wiley-Blackwell	EBSCOhost		6412	1355-557X	1365-2109	242	0	242	18	19	24	17	12	13	12	4	45	30	37	11
Aquaculture & Fisheries Management	Wiley-Blackwell	EBSCOhost		191890	0266-996X		10	0	10	1	1	0	0	0	0	6	0	1	0	1	0
Aquatic Conservation: Marine and Freshwater Ecosystems	"American Physical Therapy Association, Oncology Section"	EBSCOhost		6422	1052-7613	1099-0755	5	0	5	0	0	0	0	0	0	0	0	0	4	1	0
Aquatic Ecology	Springer Science & Business Media B.V.	EBSCOhost		6424	1386-2588	1573-5125	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Aquatic Ecosystem Health & Management	Wayne State University Press	EBSCOhost		6425	1463-4988	1539-4077	162	0	162	12	15	31	14	7	11	4	11	2	20	14	21
Aquatic living resources	Cambridge University Press	EBSCOhost		154274	0990-7440	1765-2952	3	0	3	0	0	1	0	0	0	0	1	0	0	1	0
Aquatic living resources (Elsevier)	Cambridge University Press	EBSCOhost		6430	0990-7440	1765-2952	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Aquatic Mammals	Aquatic Mammals	EBSCOhost		102741	0167-5427		176	0	176	9	10	21	8	9	10	10	9	15	27	43	5
Aquichan	Universidad de La Sabana	EBSCOhost		268662	1657-5997	2027-5374	22	0	22	8	2	3	0	0	0	1	0	2	2	2	2
AR (Absolute Return + Alpha)	Euromoney Institutional Investor PLC	EBSCOhost		623677	2151-1837		7	7	0	1	0	0	0	3	1	0	0	0	0	2	0
Arab Gulf Journal of Scientific Research	Arabian Gulf University	EBSCOhost		1901432	1015-4442		5	0	5	0	0	0	0	0	0	0	0	5	0	0	0
Arab Studies Quarterly	Pluto Journals	EBSCOhost		6470	0271-3519	2043-6920	866	495	371	11	44	137	85	17	23	55	23	152	87	173	59
Arab Studies Quarterly (ASQ)	Association of Arab-American University Graduates	EBSCOhost		930452	0271-3519		3	1	2	0	0	0	2	0	0	0	0	0	0	1	0
Arab Universities Journal of Agricultural Sciences	Arab Universities Union of Agricultural Sciences	EBSCOhost		771552	1110-2675		10	0	10	0	5	0	1	0	0	0	0	2	2	0	0
ARABIA 2000	United Press International	EBSCOhost		163374			17	17	0	0	1	3	4	2	0	0	0	0	0	7	0
Arabian archaeology and epigraphy	Wiley-Blackwell	EBSCOhost		6473	0905-7196	1600-0471	19	0	19	1	1	7	1	0	0	0	0	0	2	7	0
Arabian Journal for Science and Engineering	Springer Science & Business Media B.V.	EBSCOhost		95360	1319-8025	2191-4281	4	0	4	0	0	0	1	0	0	0	2	0	1	0	0
Arabic and Middle Eastern Literatures	Wayne State University Press	EBSCOhost		6476	1366-6169	1469-2929	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Arabica	Brill Academic Publishers	EBSCOhost		6480	0570-5398	1570-0585	23	0	23	0	2	8	3	2	0	0	0	0	5	1	2
Aramaic studies	Brill Academic Publishers	EBSCOhost		101042	1477-8351	1745-5227	23	0	23	4	1	1	0	0	3	5	1	2	3	0	3
Arbeit	Lucius & Lucius Verlagsgesellschaft mbH	EBSCOhost		128508	0941-5025		2	0	2	0	0	0	1	0	0	0	0	0	1	0	0
The Arbitration Journal	American Arbitration Association Inc.	EBSCOhost		6548	0003-7893		27	0	27	1	4	6	0	1	0	0	1	1	8	5	0
Arbor age	Specialty Information Media LLC	EBSCOhost		6557	0279-0106		3	0	3	0	0	0	0	1	0	2	0	0	0	0	0
Arc Poetry Magazine	ARC: Canada's National Poetry Magazine	EBSCOhost		926996	1910-3239		1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Arcadia - Internationale Zeitschrift für Literaturwissenschaft / International Journal for Literary Studies	De Gruyter	EBSCOhost		140948	0003-7982	1613-0642	2	0	2	1	0	0	0	0	0	0	0	0	0	1	0
Archaeoastronomy	University of Texas Press	EBSCOhost		81426	0190-9940		43	0	43	7	3	3	4	2	1	0	0	4	10	8	1
Archaeology	Archaeological Institute of America	EBSCOhost		6589	0003-8113	1943-5746	3028	2553	475	147	270	482	191	144	154	81	43	210	536	679	91
Archaeology in Oceania	Wiley-Blackwell	EBSCOhost		6593	0003-8121	1834-4453	170	23	147	16	23	29	10	0	6	4	1	13	39	26	3
Archaeometry	Wiley-Blackwell	EBSCOhost		6596	0003-813X	1475-4754	139	0	139	3	15	23	16	4	7	7	4	6	21	30	3
Archeological Papers of the American Anthropological Association	Wiley-Blackwell	EBSCOhost		166852	1551-823X	1551-8248	3	0	3	0	0	1	0	0	2	0	0	0	0	0	0
Archery Action with Outdoor Connections	Australian Bowhunters Association Incorporated	EBSCOhost		910082	1037-6720		4	0	4	0	0	0	1	0	0	1	0	0	0	2	0
Archery Business	Grand View Media Group	EBSCOhost		359027	1050-0693		23	23	0	0	2	0	0	0	0	0	0	9	8	4	0
Architect	"Hanley-Wood, Inc."	EBSCOhost		6639	1935-7001		265	233	32	21	39	52	11	6	11	6	7	23	37	49	3
"Architect (Washington, D.C.)"	"Hanley-Wood, Inc."	EBSCOhost		377510	1935-7001		2	0	2	1	0	0	1	0	0	0	0	0	0	0	0
Architecton: Proceedings of Higher Education / Architecton: Izcestia vuzov	Ural State Academy of Architecture & Arts	EBSCOhost		1755603			3	0	3	0	0	0	0	0	2	0	0	0	0	1	0
The Architects' Journal	EMAP Limited	EBSCOhost		6622	0003-8466		7282	7274	8	25	50	7112	6	2	5	15	8	19	23	13	4
Architectural Design	"American Physical Therapy Association, Oncology Section"	EBSCOhost		1681	0003-8504	1554-2769	90	0	90	8	11	11	3	0	0	2	1	5	11	37	1
Architectural Digest	Conde Nast Publications	EBSCOhost		6630	0003-8520		255	255	0	44	21	28	11	13	13	26	3	35	35	15	11
Architectural Engineering and Design Management	Wayne State University Press	EBSCOhost		278388	1745-2007	1752-7589	69	0	69	5	3	12	2	3	2	5	2	2	15	17	1
Architectural heritage	Edinburgh University Press	EBSCOhost		6632	1350-7524	1755-1641	60	8	52	0	0	0	5	29	1	5	2	4	1	13	0
Architectural Record	"Penton Media, Inc."	EBSCOhost		6635	0003-858X		1567	1567	0	120	218	218	117	55	74	62	44	131	281	222	25
Architectural Review	EMAP Limited	EBSCOhost		6636	0003-861X		760	760	0	119	98	88	62	7	30	32	23	72	127	89	13
Architectural Science Review	Wayne State University Press	EBSCOhost		6638	0003-8628	1758-9622	16	0	16	0	3	4	1	0	3	0	0	4	0	1	0
Architecture	"Nielsen Business Media, Inc."	EBSCOhost		130690	0746-0554		26	25	1	0	6	12	1	1	0	0	0	0	1	5	0
Architecture Australia	Architecture Media Pty Ltd	EBSCOhost		6648	0003-8725	1442-0945	84	54	30	5	18	6	13	12	2	4	0	1	9	10	4
Architecture Boston	Boston Society of Architects	EBSCOhost		1755604	1099-6346		3	0	3	0	0	0	0	0	1	0	0	0	0	2	0
Architecture New Zealand	Architecture Media Pty Ltd	EBSCOhost		731081	0113-4566		5	0	5	0	4	0	0	0	0	0	0	0	1	0	0
"Architecture, Technology, Culture"	Editions Rodopi BV	EBSCOhost		925229	1871-0115		4	0	4	0	0	1	0	0	1	0	1	0	0	1	0
Architectus	Oficyna Wydawnicza Politechniki Wroclawskiej	EBSCOhost		669870	1429-7507	2084-5227	3	0	3	0	0	0	0	0	0	0	1	0	0	1	1
Architektur Aktuell	Springer Science & Business Media B.V.	EBSCOhost		72076	0570-6602		5	0	5	2	1	0	1	0	0	0	0	1	0	0	0
Archiv für Geschichte der Philosophie	De Gruyter	EBSCOhost		6732	0003-9101	1613-0650	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0
Archiv für Papyrusforschung und verwandte Gebiete	De Gruyter	EBSCOhost		483482	0066-6459	1867-1551	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Archival Issues: Journal of the Midwest Archives Conference	Midwest Archives Conference	EBSCOhost		6788	1067-4993		25	11	14	1	4	4	1	0	0	2	4	0	8	1	0
Archival Science	Springer Science & Business Media B.V.	EBSCOhost		6789	1389-0166	1573-7519	7	0	7	0	0	0	0	0	0	0	0	2	3	2	0
