Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIVERSITY - 2062																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-01-27																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Nature Neuroscience    	Nature Publishing Group	nature.com	10.1038/neuro	NEURO	1097-6256	1546-1726	2834	1899	935	301	235	207	198	690	195	138	195	194	125	190	166
Nature Photonics    	Nature Publishing Group	nature.com	10.1038/nphoton	NPHOTON	1749-4885	1749-4893	734	499	235	61	38	59	76	51	31	61	37	58	105	81	76
Nature Physics    	Nature Publishing Group	nature.com	10.1038/nphys	NPHYS	1745-2473	1745-2481	1482	1150	332	195	134	126	158	113	84	89	135	105	94	134	115
Nature Protocols    	Nature Publishing Group	nature.com	10.1038/nprot	NPROT	1754-2189	1750-2799	4714	4505	209	880	458	132	466	435	389	99	459	437	133	398	428
Nature Reviews Cancer    	Nature Publishing Group	nature.com	10.1038/nrc	NRC	1474-175x	1474-1768	1302	949	353	162	87	66	158	85	145	80	121	104	96	106	92
Nature Reviews Drug Discovery    	Nature Publishing Group	nature.com	10.1038/nrd	NRD	1474-1776	1474-1784	1179	925	254	162	103	107	138	110	67	59	70	71	93	109	90
Nature Reviews Genetics    	Nature Publishing Group	nature.com	10.1038/nrg	NRG	1471-0056	1471-0064	77049	76471	578	16610	14830	16877	15597	12022	129	109	125	190	175	255	130
Nature Reviews Immunology    	Nature Publishing Group	nature.com	10.1038/nri	NRI	1474-1733	1474-1741	773	478	295	116	37	66	76	38	47	56	45	53	108	82	49
Nature Reviews Microbiology    	Nature Publishing Group	nature.com	10.1038/nrmicro	NRMICRO	1740-1526	1740-1534	1187	810	377	107	98	114	136	36	72	28	33	73	101	206	183
Nature Reviews Molecular Cell Biology    	Nature Publishing Group	nature.com	10.1038/nrm	NRM	1471-0072	1471-0080	1949	1447	502	218	211	144	216	135	92	73	104	147	129	320	160
Nature Reviews Neurology    	Nature Publishing Group	nature.com	10.1038/nrneurol	NRNEUROL	1759-4758	1759-4766	164	95	69	26	25	19	27	6	3	7	4	3	23	11	10
Nature Reviews Neuroscience    	Nature Publishing Group	nature.com	10.1038/nrn	NRN	1471-003x	1471-0048	1474	993	481	184	146	145	161	120	92	89	65	110	143	149	70
Nature Reviews Rheumatology    	Nature Publishing Group	nature.com	10.1038/nrrheum	NRRHEUM	1759-4790	1759-4804	87	48	39	3	2	17	10	2	5	1	19	5	9	14	0
Nature Structural & Molecular Biology    	Nature Publishing Group	nature.com	10.1038/nsmb	NSMB	1545-9993	1545-9985	1619	1301	318	225	104	100	169	117	135	101	98	224	76	151	119
Nature archive: 1869-1949    	Nature Publishing Group	nature.com	10.1038/ja03	JA03	0028-0836	1476-4687	879	0	879	41	70	64	54	27	36	50	27	134	201	105	70
Nature archive: 1950-1986    	Nature Publishing Group	nature.com	10.1038/ja02	JA02	0028-0836	1476-4687	1418	165	1253	93	157	153	99	80	127	89	52	149	203	163	53
Nature archive: 1987-1996    	Nature Publishing Group	nature.com	10.1038/ja01	JA01	0000-0000	1476-4687	1377	17	1360	79	140	182	160	84	62	102	46	92	149	227	54
Nature archive: 1997-2006    	Nature Publishing Group	nature.com	10.1038/ja04	JA04	0028-0836	1476-4687	11321	8988	2333	1559	1109	818	1169	888	711	467	698	977	769	1414	742
Nature-newbio    	Nature Publishing Group	nature.com	10.1038/newbio	NATURE-NEWBIO	0090-0028		12	0	12	0	0	0	0	0	0	3	1	8	0	0	0
Nature-physci    	Nature Publishing Group	nature.com	10.1038/physci	NATURE-PHYSCI	0300-8746		1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Neuropsychopharmacology    	Nature Publishing Group	nature.com	10.1038/npp	NPP	0893-133X	1740-634X	520	365	155	50	41	57	49	42	42	27	43	44	40	61	24
Oncogene    	Nature Publishing Group	nature.com	10.1038/onc	ONC	0950-9232	1476-5594	1061	763	298	97	123	87	173	101	95	84	62	69	53	62	55
Prostate Cancer and Prostatic Diseases    	Nature Publishing Group	nature.com	10.1038/pcan	PCAN	1365-7852	1476-5608	68	59	9	10	8	0	5	7	6	2	12	5	4	2	7
Spinal Cord    	Nature Publishing Group	nature.com	10.1038/sc	SC	1362-4393	1476-5624	228	116	112	17	19	25	18	16	11	20	19	11	2	54	16
The American Journal of Gastroenterology    	Nature Publishing Group	nature.com	10.1038/ajg	AJG	0002-9270	1572-0241	127	79	48	7	7	9	14	6	14	12	11	12	20	11	4
The American Journal of Gastroenterology Supplements    	Nature Publishing Group	nature.com	10.1038/ajgsup	AJGSUP	1948-9498	1948-9501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The EMBO Journal    	Nature Publishing Group	nature.com	10.1038/emboj	EMBOJ	0261-4189	1460-2075	1875	1494	381	294	140	156	214	140	122	74	125	151	111	206	142
The ISME Journal    	Nature Publishing Group	nature.com	10.1038/ismej	ISMEJ	1751-7362	1751-7370	152	116	36	20	11	15	18	11	8	11	12	17	4	15	10
The Journal of Antibiotics    	Nature Publishing Group	nature.com	10.1038/ja	JA	0021-8820	1881-1469	20	13	7	1	1	2	1	1	2	4	0	3	4	0	1
The Pharmacogenomics Journal    	Nature Publishing Group	nature.com	10.1038/tpj	TPJ	1470-269X	1473-1150	88	67	21	9	21	0	4	16	6	11	2	1	7	6	5
Vital    	Nature Publishing Group	nature.com	10.1038/vital	VITAL	1741-7503	1471-7511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
